iter	MultiClassOneVsAll	F1:class=0	F1:class=1	F1:class=2	F1:class=3
200	-0.3931706356	0.78768816	0.03648424544	0.3353584447	0.2830060934
201	-0.3930472746	0.78768816	0.03973509934	0.3363802559	0.2835921675
202	-0.3929080951	0.78768816	0.03973509934	0.3384053561	0.2839756592
203	-0.3926595241	0.7876404494	0.03973509934	0.3377885784	0.2855209743
204	-0.3924216034	0.7878174871	0.03973509934	0.3377885784	0.2864864865
205	-0.3922201992	0.7878583474	0.03973509934	0.3396226415	0.2907133244
206	-0.3920413129	0.7879878529	0.03973509934	0.3381995134	0.2887844191
207	-0.3919234041	0.7881241565	0.03966942149	0.3386114495	0.2901276024
208	-0.391791813	0.7882127995	0.03973509934	0.3408126137	0.2884097035
209	-0.3916685071	0.7884788479	0.03642384106	0.3428225318	0.2882154882
210	-0.3916101255	0.7884312402	0.03642384106	0.3422007255	0.2884097035
211	-0.3914381798	0.788383611	0.03966942149	0.3432024169	0.2870619946
212	-0.3913207338	0.7885135135	0.04290429043	0.3427881714	0.2895622896
213	-0.391118625	0.7884247269	0.04290429043	0.3426150121	0.2901276024
214	-0.3909850931	0.7887799932	0.03966942149	0.3462002413	0.2903225806
215	-0.3908047345	0.7890466531	0.04290429043	0.3491872366	0.291862811
216	-0.3906379934	0.7887323944	0.04290429043	0.3469879518	0.291862811
217	-0.3904883971	0.7893549842	0.04290429043	0.348767288	0.2951039571
218	-0.3903397246	0.7894440059	0.04290429043	0.348767288	0.2975871314
219	-0.3901428338	0.7895330476	0.04612850082	0.3503913305	0.297188755
220	-0.3899838218	0.7896221094	0.05254515599	0.3510253317	0.300802139
221	-0.3898311735	0.7896221094	0.05254515599	0.3512371756	0.3019372077
222	-0.389707513	0.7895330476	0.05245901639	0.3494558646	0.300400534
223	-0.389492669	0.7899785577	0.05245901639	0.3508137432	0.300400534
224	-0.3893076653	0.7900203206	0.05882352941	0.3506024096	0.3017356475
225	-0.3891881898	0.7901987353	0.05882352941	0.3540036123	0.3028685791
226	-0.389025569	0.7904665085	0.05564648118	0.3555555556	0.3042028019
227	-0.3889323136	0.7902879729	0.05882352941	0.3537906137	0.3042028019
228	-0.3888331794	0.7907817442	0.06199021207	0.3570566948	0.3056478405
229	-0.3886311898	0.7910498361	0.06199021207	0.3570566948	0.3076923077
230	-0.3884989045	0.7910025998	0.05882352941	0.356065178	0.3121693122
231	-0.3884121169	0.7914075749	0.06199021207	0.3598074609	0.3129973475
232	-0.3882657821	0.7912286651	0.06188925081	0.3607937462	0.3111702128
233	-0.3881515703	0.7913181099	0.06188925081	0.3610108303	0.3094289509
234	-0.3879034779	0.7914075749	0.05882352941	0.3607937462	0.3103448276
235	-0.3877564649	0.7914075749	0.05882352941	0.3617788462	0.3105507631
236	-0.3875498264	0.7916760914	0.05882352941	0.3586040915	0.3082010582
