iter	MultiClassOneVsAll	MultiClassOneVsAll
281	-0.3815905562	-0.3815905562
282	-0.3814631429	-0.3814631429
283	-0.3813075562	-0.3813075562
284	-0.3811851723	-0.3811851723
285	-0.3810040696	-0.3810040696
286	-0.380883864	-0.380883864
287	-0.3807201688	-0.3807201688
288	-0.3806299604	-0.3806299604
289	-0.3805182517	-0.3805182517
290	-0.3804097747	-0.3804097747
291	-0.3802437507	-0.3802437507
292	-0.3801352176	-0.3801352176
293	-0.3799829847	-0.3799829847
294	-0.3798421321	-0.3798421321
295	-0.3797022334	-0.3797022334
296	-0.3796195974	-0.3796195974
297	-0.3794845265	-0.3794845265
298	-0.3793683585	-0.3793683585
299	-0.3792537869	-0.3792537869
300	-0.3791204847	-0.3791204847
301	-0.3790093338	-0.3790093338
302	-0.3789131886	-0.3789131886
303	-0.3787539235	-0.3787539235
304	-0.3786538564	-0.3786538564
305	-0.378572562	-0.378572562
306	-0.3784954114	-0.3784954114
307	-0.3783639096	-0.3783639096
308	-0.3782859923	-0.3782859923
309	-0.37815714	-0.37815714
310	-0.3780182294	-0.3780182294
311	-0.3779112041	-0.3779112041
312	-0.3777120523	-0.3777120523
313	-0.3775949237	-0.3775949237
314	-0.3774818847	-0.3774818847
315	-0.3773679559	-0.3773679559
316	-0.3772696006	-0.3772696006
317	-0.3771299788	-0.3771299788
318	-0.377023292	-0.377023292
319	-0.3769085484	-0.3769085484
320	-0.3767852991	-0.3767852991
321	-0.3765956783	-0.3765956783
322	-0.3764586535	-0.3764586535
323	-0.3763459413	-0.3763459413
324	-0.3762281164	-0.3762281164
325	-0.3760636841	-0.3760636841
326	-0.3759584682	-0.3759584682
327	-0.3758443419	-0.3758443419
328	-0.3757534159	-0.3757534159
329	-0.3756442893	-0.3756442893
330	-0.3755450282	-0.3755450282
331	-0.3754519425	-0.3754519425
332	-0.375346578	-0.375346578
333	-0.3752522095	-0.3752522095
334	-0.3750866851	-0.3750866851
335	-0.3749804418	-0.3749804418
336	-0.3748164922	-0.3748164922
337	-0.3746982913	-0.3746982913
338	-0.3745648192	-0.3745648192
339	-0.3744581824	-0.3744581824
340	-0.3743152086	-0.3743152086
341	-0.3742181323	-0.3742181323
342	-0.3741097976	-0.3741097976
343	-0.3739750938	-0.3739750938
344	-0.3738120529	-0.3738120529
345	-0.3735909439	-0.3735909439
346	-0.373439969	-0.373439969
347	-0.3733458315	-0.3733458315
348	-0.373248402	-0.373248402
349	-0.3731036673	-0.3731036673
350	-0.3729912463	-0.3729912463
351	-0.3728838735	-0.3728838735
352	-0.3727892449	-0.3727892449
353	-0.3726635461	-0.3726635461
354	-0.3725234943	-0.3725234943
355	-0.3724319052	-0.3724319052
356	-0.3723339033	-0.3723339033
357	-0.3722349373	-0.3722349373
358	-0.3721303331	-0.3721303331
359	-0.3720250805	-0.3720250805
360	-0.3718518553	-0.3718518553
361	-0.3717266339	-0.3717266339
362	-0.3716367414	-0.3716367414
363	-0.3715593596	-0.3715593596
364	-0.371482555	-0.371482555
365	-0.3713681723	-0.3713681723
366	-0.3712566442	-0.3712566442
367	-0.3711417215	-0.3711417215
368	-0.3710238147	-0.3710238147
369	-0.3708950035	-0.3708950035
370	-0.3708107398	-0.3708107398
371	-0.3706992472	-0.3706992472
372	-0.3705592324	-0.3705592324
373	-0.3704700673	-0.3704700673
374	-0.3703373554	-0.3703373554
375	-0.3702300252	-0.3702300252
376	-0.3700703464	-0.3700703464
377	-0.3699708836	-0.3699708836
378	-0.3698426056	-0.3698426056
379	-0.36972943	-0.36972943
380	-0.369627155	-0.369627155
381	-0.3695775221	-0.3695775221
382	-0.3694813356	-0.3694813356
383	-0.3693687354	-0.3693687354
384	-0.3692234993	-0.3692234993
385	-0.3691130459	-0.3691130459
386	-0.3690397549	-0.3690397549
387	-0.3689068163	-0.3689068163
388	-0.3688179208	-0.3688179208
389	-0.3687501635	-0.3687501635
390	-0.368608391	-0.368608391
391	-0.3685091592	-0.3685091592
392	-0.3684040418	-0.3684040418
393	-0.3682971047	-0.3682971047
394	-0.3681817219	-0.3681817219
395	-0.3680548854	-0.3680548854
396	-0.36794406	-0.36794406
397	-0.367827836	-0.367827836
398	-0.3677128495	-0.3677128495
399	-0.3676495403	-0.3676495403
400	-0.3675300996	-0.3675300996
401	-0.3674100798	-0.3674100798
402	-0.3673022571	-0.3673022571
403	-0.3672172894	-0.3672172894
404	-0.3670703981	-0.3670703981
405	-0.3669294318	-0.3669294318
406	-0.366841801	-0.366841801
407	-0.3667651956	-0.3667651956
408	-0.3666170469	-0.3666170469
409	-0.366440883	-0.366440883
410	-0.3663539597	-0.3663539597
411	-0.3662199274	-0.3662199274
412	-0.3661742487	-0.3661742487
413	-0.3660844038	-0.3660844038
414	-0.3659567326	-0.3659567326
415	-0.3658388801	-0.3658388801
416	-0.3657292686	-0.3657292686
417	-0.365607519	-0.365607519
418	-0.3654917925	-0.3654917925
419	-0.365353402	-0.365353402
420	-0.3652729983	-0.3652729983
421	-0.3651628658	-0.3651628658
422	-0.3650553485	-0.3650553485
423	-0.3649322722	-0.3649322722
424	-0.3648522862	-0.3648522862
425	-0.3647121397	-0.3647121397
426	-0.3646300249	-0.3646300249
427	-0.3645403231	-0.3645403231
428	-0.3643928007	-0.3643928007
429	-0.3642383375	-0.3642383375
430	-0.3641516232	-0.3641516232
431	-0.3640399017	-0.3640399017
432	-0.3639135673	-0.3639135673
433	-0.3637781071	-0.3637781071
434	-0.3636696795	-0.3636696795
435	-0.3635568317	-0.3635568317
436	-0.3634401133	-0.3634401133
437	-0.3633560054	-0.3633560054
438	-0.3632803814	-0.3632803814
439	-0.3631547049	-0.3631547049
440	-0.3630528595	-0.3630528595
441	-0.3629504945	-0.3629504945
442	-0.3628374828	-0.3628374828
443	-0.3627106015	-0.3627106015
444	-0.3625854114	-0.3625854114
445	-0.3624289063	-0.3624289063
446	-0.3623007721	-0.3623007721
447	-0.3622243576	-0.3622243576
448	-0.3621469476	-0.3621469476
449	-0.3620553421	-0.3620553421
450	-0.3619369289	-0.3619369289
451	-0.3618653725	-0.3618653725
452	-0.3616953381	-0.3616953381
453	-0.3616361075	-0.3616361075
454	-0.3615391677	-0.3615391677
455	-0.3614348731	-0.3614348731
456	-0.3613412466	-0.3613412466
457	-0.3612488729	-0.3612488729
458	-0.3611615978	-0.3611615978
459	-0.3610146689	-0.3610146689
460	-0.3609146202	-0.3609146202
461	-0.3608176	-0.3608176
462	-0.3607008607	-0.3607008607
463	-0.3605351209	-0.3605351209
464	-0.3604175167	-0.3604175167
465	-0.3603276279	-0.3603276279
466	-0.3602089872	-0.3602089872
467	-0.3600637684	-0.3600637684
468	-0.3599889873	-0.3599889873
469	-0.3598761027	-0.3598761027
470	-0.3597941717	-0.3597941717
471	-0.3597014341	-0.3597014341
472	-0.3596018842	-0.3596018842
473	-0.3594730975	-0.3594730975
474	-0.3593807442	-0.3593807442
475	-0.3592762842	-0.3592762842
476	-0.3591736521	-0.3591736521
477	-0.3589878823	-0.3589878823
478	-0.3589224812	-0.3589224812
479	-0.3588410731	-0.3588410731
480	-0.3587115247	-0.3587115247
481	-0.3586306439	-0.3586306439
482	-0.3585058565	-0.3585058565
483	-0.3584443623	-0.3584443623
484	-0.358364329	-0.358364329
485	-0.3582752218	-0.3582752218
486	-0.3581936547	-0.3581936547
487	-0.3580468451	-0.3580468451
488	-0.3578903118	-0.3578903118
489	-0.3578011046	-0.3578011046
490	-0.3576996236	-0.3576996236
491	-0.3575990511	-0.3575990511
492	-0.3575228	-0.3575228
493	-0.3574558528	-0.3574558528
494	-0.3573425948	-0.3573425948
495	-0.3572460468	-0.3572460468
496	-0.3571597331	-0.3571597331
497	-0.3570583304	-0.3570583304
498	-0.356969564	-0.356969564
499	-0.3568606043	-0.3568606043
500	-0.3567035343	-0.3567035343
501	-0.3566193901	-0.3566193901
502	-0.3565496324	-0.3565496324
503	-0.3564862453	-0.3564862453
504	-0.356396672	-0.356396672
505	-0.3562831482	-0.3562831482
506	-0.3561728005	-0.3561728005
507	-0.3560960811	-0.3560960811
508	-0.3559841493	-0.3559841493
509	-0.355902899	-0.355902899
510	-0.35580814	-0.35580814
511	-0.3557117807	-0.3557117807
512	-0.3555975657	-0.3555975657
513	-0.3554723915	-0.3554723915
514	-0.3554056671	-0.3554056671
515	-0.3553027017	-0.3553027017
516	-0.355185252	-0.355185252
517	-0.3551016917	-0.3551016917
518	-0.3549995663	-0.3549995663
519	-0.3549068474	-0.3549068474
520	-0.3548401712	-0.3548401712
521	-0.3547157276	-0.3547157276
522	-0.3545948271	-0.3545948271
523	-0.3544810294	-0.3544810294
524	-0.3543995839	-0.3543995839
525	-0.354326052	-0.354326052
526	-0.3541941372	-0.3541941372
527	-0.3540826629	-0.3540826629
528	-0.3539753185	-0.3539753185
529	-0.3538868417	-0.3538868417
530	-0.353762268	-0.353762268
531	-0.353655936	-0.353655936
532	-0.3535736114	-0.3535736114
533	-0.3534554601	-0.3534554601
534	-0.3533864	-0.3533864
535	-0.3533279587	-0.3533279587
536	-0.3532211452	-0.3532211452
537	-0.3531461609	-0.3531461609
538	-0.3530473872	-0.3530473872
539	-0.3529203336	-0.3529203336
540	-0.3527836533	-0.3527836533
541	-0.3527452882	-0.3527452882
542	-0.3526192168	-0.3526192168
543	-0.3525677579	-0.3525677579
544	-0.3524548097	-0.3524548097
545	-0.3523396851	-0.3523396851
546	-0.3522683764	-0.3522683764
547	-0.3521814892	-0.3521814892
548	-0.3520912645	-0.3520912645
549	-0.3520522037	-0.3520522037
550	-0.351965497	-0.351965497
551	-0.3518530198	-0.3518530198
552	-0.3517732639	-0.3517732639
553	-0.3516544801	-0.3516544801
554	-0.3515617368	-0.3515617368
555	-0.351393673	-0.351393673
556	-0.3512993151	-0.3512993151
