iter	MultiClassOneVsAll	MultiClassOneVsAll
498	-0.3611682773	-0.3611682773
499	-0.3610311858	-0.3610311858
500	-0.360956155	-0.360956155
501	-0.3608968093	-0.3608968093
502	-0.3608475639	-0.3608475639
503	-0.3607986172	-0.3607986172
504	-0.3607183923	-0.3607183923
505	-0.3606260058	-0.3606260058
506	-0.3605582979	-0.3605582979
507	-0.360457738	-0.360457738
508	-0.3603759795	-0.3603759795
509	-0.3603328711	-0.3603328711
510	-0.3602640086	-0.3602640086
511	-0.3601774054	-0.3601774054
512	-0.3600881363	-0.3600881363
513	-0.3600062212	-0.3600062212
514	-0.3599086708	-0.3599086708
515	-0.3598168367	-0.3598168367
516	-0.3597376865	-0.3597376865
517	-0.359688113	-0.359688113
518	-0.3595981086	-0.3595981086
519	-0.3594858372	-0.3594858372
520	-0.3594018636	-0.3594018636
521	-0.3592749764	-0.3592749764
522	-0.3592100841	-0.3592100841
523	-0.3591173816	-0.3591173816
524	-0.3590027733	-0.3590027733
525	-0.3589290416	-0.3589290416
526	-0.358833391	-0.358833391
527	-0.3587342628	-0.3587342628
528	-0.3586438142	-0.3586438142
529	-0.3585214202	-0.3585214202
530	-0.358447663	-0.358447663
531	-0.3583774524	-0.3583774524
532	-0.3582849091	-0.3582849091
533	-0.3581649336	-0.3581649336
534	-0.3580836086	-0.3580836086
535	-0.3579704195	-0.3579704195
536	-0.3578942366	-0.3578942366
537	-0.3578118149	-0.3578118149
538	-0.3577171874	-0.3577171874
539	-0.3576360746	-0.3576360746
540	-0.3575291574	-0.3575291574
541	-0.3574840965	-0.3574840965
542	-0.3574047997	-0.3574047997
543	-0.357344431	-0.357344431
544	-0.3572890276	-0.3572890276
545	-0.3572560675	-0.3572560675
546	-0.3571894528	-0.3571894528
547	-0.3570991587	-0.3570991587
548	-0.3570416085	-0.3570416085
549	-0.3569743356	-0.3569743356
550	-0.3568661188	-0.3568661188
551	-0.3567927513	-0.3567927513
